TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
section,One Offs,,,,,,,,,,,,
section,Morning Routine @ 7:30am,,,,,,,,,,,,
task,Make your bed,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 7:30am,en,America/Los_Angeles,,,,
task,Get dressed in clean clothes,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 7:30am,en,America/Los_Angeles,,,,
task,Brush & do hair : pin back bangs,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 7:30am,en,America/Los_Angeles,,,,
task,"Brush teeth, wash face, & deodorant",,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 7:30am,en,America/Los_Angeles,,,,
task,Wash Counters after Breakfast,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 8:45pm,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Homeschool @ 9:30am,,,,,,,,,,,,
task,ELA - 20 minutes of reading in chapter book,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Monday, every Tuesday, every Wednesday, every Thursday, every Friday at 9am",en,America/Los_Angeles,,,,
task,ELA - 4 Lessons in Brain Quest English,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Monday, every Tuesday, every Wednesday, every Thursday, every Friday at 9am",en,America/Los_Angeles,,,,
task,"ELA - Phonics cards, 1 level timed",,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Monday, every Tuesday, every Wednesday, every Thursday, every Friday at 9am",en,America/Los_Angeles,,,,
task,Math - 1 page math facts,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Monday, every Tuesday, every Wednesday, every Thursday, every Friday at 9am",en,America/Los_Angeles,,,,
task,Math - 3 Lessons in Brain Quest,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Monday, every Tuesday, every Wednesday, every Thursday, every Friday at 9am",en,America/Los_Angeles,,,,
task,SS - 1 Lesson in Brain Quest,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Monday, every Tuesday at 9am",en,America/Los_Angeles,,,,
task,Science - 1 Lesson in Brain Quest,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Wednesday, every Thursday at 9am",en,America/Los_Angeles,,,,
task,Science - 1 Lesson Health & the Human Mind Unit with Mom,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every Friday at 9am,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Team Clean : Serving others well @ 1pm,,,,,,,,,,,,
task,Clean kids bathroom,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every monday 1pm,en,America/Los_Angeles,,,,
task,Vacuum whole house,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every Tuesday at 1pm,en,America/Los_Angeles,,,,
task,Wash windows - all bedrooms,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every wednesday at 1pm,en,America/Los_Angeles,,,,
task,"Girls laundry : Wash, dry, & put away",,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every Thursday at 1pm,en,America/Los_Angeles,,,,
task,"Swifter Kitchen, Dining, & Laundry room",,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every Friday at 1pm,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Personal Growth @ 2pm,,,,,,,,,,,,
task,Piano practice - 20 minutes,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every monday, every wednesday, every friday at 2pm",en,America/Los_Angeles,,,,
task,Gymnastic practice - 20 minutes,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),"every Tuesday, every Thursday, every Saturday at 2pm",en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Evening Routine @ 5pm,,,,,,,,,,,,
task,Make dinner with mom,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 5pm,en,America/Los_Angeles,,,,
task,Wash kitchen counters after dinner,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 6pm,en,America/Los_Angeles,,,,
task,Shower,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 6:30pm,en,America/Los_Angeles,,,,
task,"Dress down, dirty clothes in hamper",,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 6:30pm,en,America/Los_Angeles,,,,
task,Brush & Braid hair,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 6:30pm,en,America/Los_Angeles,,,,
task,Brush teeth & wash face,,4,1,Britt (47606195),Emmajoyhill2012 (47718597),every day at 6:30pm,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
