TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Letters by Mail > Citywide Hunt > Card Game > Podcast > Escape Room > Children’s Book > Comic,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Solicit Five Pines for photography.,,2,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,LinkedIn Jobs - Video Editor / Animator,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3956948503&eBP=CwEAAAGQn6Eb2qF1xd1AdgIbWErcrKR11cRVqvRWpwAyFkOa06KhtTjsns8klgNl13pB19N6vVZz--WkxIOpz8lsd_h8MKhdvZB5uvFXekMIumYmldH4WZ2qPIJBR-hLvqFBngX8Xu2liMrMUAVKzvklCteDnIOLJSvrSChaj0XsueyBIgHKV5ZamrfCXljOubrqIZLMvDU-rPGgZI62b9aioOAqdEPXpzOpFTAt0khx_h5C9mJNQEWh_JAiIRGP23K7JTDKcPBFa6OwPvEsD012cyo405erpvHQ9BkrjXqSiyHQU6EyXJLgBw7Lwg8K_9d_MvTb3kuNKf0oUTpgHpwpS1eJGyTYUPE0yTF57MXxFHmOEuLY9TSXeBAXvuNhsRsiX-6-uw&refId=vtDmvBW3MMkywD3oGOBtMw%3D%3D&trackingId=O6CdP42qm9%2FVT5j%2BYMjcgA%3D%3D,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Business idea - Lifestyle photography and sell products from the image.,[Check out what I found on Amazon! #ShopByInterest](https://www.amazon.com/finds/post/photo/amzn1.shoppablemedia.v1.1767565b-59fa-4618-89ae-0eacb82d32e4?topicId=bohemianDecor&tag=pnacapmanu-us-20&ref_=ppn_sbi_1_9_1767565b59fa461889ae0eacb82d32e4I_onamzrockel05-20&ascsubtag=ppn-sbi-1-9-1767565b59fa461889ae0eacb82d32e4I_onamzrockel05-20&linkCode=sai),4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Create a concept for Therapy Grip.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Create a VS Code Plugin for ChatGPT.,"- It should open in a floating window.
- It should have access to view my file and folder structure.
- It should have permission to create folders and files but ask on a per-project basis and be locked to the given folders.
- It should have access to Safari debug output.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Explore AI with automatic task prioritization.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Offer Handyman services.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Make furniture to sell.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Try to get gigs on Freelancer.com using money from Uber.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Setup a product photography landing page on TPC.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Business Ideas,,,,,,,,,,,,
task,Sell applications on Flippa. Connect with sellers to build relationships.,"- SFA
- Instant Offer
- Kids Cloud App
- Blockchain Things
- NFT Minter Site
- Finance Tool",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Activities with the Kids,,,,,,,,,,,,
task,Shooting,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Working Out,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Gaming: Call of Duty,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Kayaking,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Fishing,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,AI - GPT,,,,,,,,,,,,
task,I need a GPT VSCode / MacOS Plugin that will rename files in bulk. I’d pay $20 for this.,[Leland Smith 2024-09-03 at 10.08.00 AM](https://share.zight.com/Kou8eJxZ),4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,General Business,,,,,,,,,,,,
task,3D print vocal chords.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Video Marketing Series for TPC,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Escape Rooms,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
note,I could do this with Dion.,,,,Spencer (47554087),,2024-07-24T01:07:25.532000Z,,,,,,
task,Card Game Board Games @FavoriteIdeas @Ideas,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Christmas Movie @BigIdeas @Ideas,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Tiny House Building,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Stock Footage,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Movie Trailers on Kickstarter,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,GPT for Software in Budget,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Guess Who but with aliens.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Dragon card game.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Generating passive income,"RV rentals, profit from the property.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Real Estate Photography in Sunriver @GetAJobInstead,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
note,"This should not be our focus. It's not enjoyable, not as scalable. Just a fallback in emergency but still building a business.

You would be better off getting a job.",,,,Spencer (47554087),,2024-07-24T00:59:17.548000Z,,,,,,
task,Vacation Photography in Sunriver,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Action Photography in Sunriver,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Setup Escape Room Business,[Business Registration & Licensing | City of Bend (bendoregon.gov)](https://www.bendoregon.gov/government/departments/community-development/online-permit-center/business-registration-licensing),4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Use the ATV and trailer to do manual labor.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Mystery Letters,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Sports Equipment Rental,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Storage - RV and Boat,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Hire the girls to outreach to TMS clinics.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Hire the big sales team ($15k) to outreach to TMS clinics or web clients.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Build a CRM for TMS clinics.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Get listed in Plaid Partners.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Write a children's story.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Pencil draw illustrations for the book while the kids are at the park.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Email BHS Clients,[Todoist task: Email BHS clients](https://app.todoist.com/app/task/email-bhs-clients-6Vj6X8wr9vQ7wvrQ),4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Seasonal Photoshoot at Sunriver,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Christmas Tree Farm,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Pumpkin Patch,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Movies,,,,,,,,,,,,
task,Order of Movies I Wnat to Do,"Order of Movies I Wnat to Do

- Drone - Romance / Suspense - Inspired by Oblivion
- Suspense - Inspired by Signs
- Comedy -
- Suspense / Hope -
- Romance",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Filming costco demo tv videos,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Ideating with others,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Networking on Twitter,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Filming miniature cities.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Knight & Day with Britt,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"Music Video - Andy Grammar ""Without You""","- Man being angry at customer service. Customer service. Self picks up selfishness to drag him away.
- Selfish on an airplane, eying a woman, nods to Self to check her out as he reaches his wedding ring hand out to her. Self looks at the door lock and opens it to get sucked out with Selfish. Fight mid-air to fight for air bag.
- Self drowns Selfish.
- Selfish is saying words to woman that hurt her. Self fights him to duct tape his mouth.
- Throughout the episodes Self takes all the injuries, not Selfish.
- Montage of hands carving a cross, but audience doesn't know that's what it is until the end.
- Ends with Self explaing to Selfish he has to be crucified. Selfish concedes.
- Maybe Owen plays Self and I play Selfish.
- Final ending is man running to those walking away. Wife, kids, friends.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
