TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Secretly send her books.,"Fierce Marriage

Communication",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Send her something that will make her laugh once or twice a week.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Compete her garden and grow some stuff for her.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Focus on making her feel good things.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Be fit.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Take the line dancing classes.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Instagram,"- Workouts with the kids.
- Gentle and kind one on one video.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Make a prayer board?,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,How to love an introvert,"- Give them space.
- Plan a quiet loner date for her at the RV.
- Respect their boundaries.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Keep asking daily if you’ve met her needs,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Make the vertical garden for Brittany's birthday.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Create this poster for the house for Brittany for Christmas.,https://www.amazon.com/gp/product/B0CYL7F233?tag=elfster0f-20&th=1,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Hummus and Pita is one of her favorite snacks.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Avacado Toast is one of her favorite snacks.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Create the intersection drawing of Brittany,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""Paired App""",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,She loves the idea of doing dance photography but she needs a studio. I could rent a studio space for her and do the advertising.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,She wants a second instapot.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,She wants that van.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Gradually write down times she felt safe with you.,"Collect them as small notes to put in a piggy bank and gift to her in the future.

For example; Arlos birth.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,How do you command the things you want by the way you live instead of demanding?,"Love and Respect
- Read books, share what you learn that you think they would want to hear. Ask their opinion. Invite them.
- Be curious, it draws them out.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Write a letter to Brittany about one church.,"Hebrews 13:17 - Obey church leadership.
Unity
Accountability",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Brittanys Measurements,"Underwear XL - 3XL 3EG 3TG 10
Leggings XL / EG
Bra 38/40/42D 90D",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Make a Christmas movie she can watch.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Find a photographer to barter with for a couples session.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
