TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=board,,,,,,,,,,,,
,,,,,,,,,,,,,
task,haley@styleaesthetics.com,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Sometimes looking for God is like looking for air. You must breathe it in to know it's there because your eyes were never meant to see it.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,dad takes liam b date,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Add invoice system to our Finance tool.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,take two diffusers from bathroom and put in rv,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Progress on your CCB License,[Login - Course Portal](https://courseportal.2leap.com/courses/assigned_view?id=214033),4,1,Spencer (47554087),,Aug 2,en,America/Los_Angeles,,,,
task,"Something to say to your lover today ""I like you. And the few things I don't; I have love for.""","What they may hear when you say this is ""I see so much good in you. And when you do something that I don't prefer, or worse, I know I have the power to love you through that because I have those things too. Love transforms us so we don't have to try and change each other.""",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Therapy in Transition,"One of my triggers is coming into the house and seeing things taken. So I want to get ahead of that by implementing the things I want and to show my personality and how inviting that is.

- Empty closet for her side.
- Her things in a safe storage unit.
- New comforter for master bed.
- New mattress for master bed.
- New chairs or re-stained chairs in master.
- Cowboy & hat hanger.
- Fridge decorations.
- Plants.
- Ladder for blankets.
- Night stands.
- Word signs with Scripture.
- New couches.
- New dining table set, but similar.
- Lights and decorations for above kitchen.
- New shelving for the girls' rooms.
- Chalkboard for homeschool.",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,The couple at the coffee shop,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Reminder: Drop Shipping Site with Loy,,4,1,Spencer (47554087),,Every day at 6am,en,America/Los_Angeles,,,,
task,Reminder: Build & Sell Tiny Homes + CCB License,,4,1,Spencer (47554087),,Every day at 6am,en,America/Los_Angeles,,,,
task,Meet Andrew Goman and give him the proposal.,,1,1,Spencer (47554087),,Aug 2 9:00 AM,en,America/Los_Angeles,60,minute,,
task,Andrews Solar,"3 micro inverters
2 inverters",4,1,Spencer (47554087),,Aug 2,en,America/Los_Angeles,,,,
task,Agent for code structure.,,4,1,Spencer (47554087),,Aug 2,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,,,,,,,,,,,,,
