TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Review Daily Encouragements,,4,1,Spencer (47554087),,Every day at 6:30am,en,America/Los_Angeles,10,minute,,
task,Be with Jesus. Become like Him. Do as He did.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""You think everyone is beautiful."" - Louis Lane in Superman",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""I was sent to be a good man."" - Superman",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"You are consistent and a worker, protector, provider, rescuer, saver. Be kind.",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,We CAN heal.,"**Matthew 10:1 (ESV):**

> *And he called to him his twelve disciples and gave them authority over unclean spirits, to cast them out, and to heal every disease and every affliction.*

**Luke 9:1–2 (ESV):**

> *And he called the twelve together and gave them power and authority over all demons and to cure diseases, and he sent them out to proclaim the kingdom of God and to heal.*",4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,He was irresistible because of his loving kindness that people followed him anywhere.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""He went about doing good and healing all who were oppressed by the devil."" Acts 10:38",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Luke 8:19 - Everyone tried to touch Jesus. Power was coming from him and healing them all.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Make the room shift when you walk in.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Replace your thoughts with His thoughts.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""All you have to do to lead is be the person that assumes more responsibility, and others will follow you only because it is easier for them.""",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""The way you start to lead is to *take more responsibility following your vision*. Nobody can stop you from doing this except yourself.""",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Focusing on what you want is not about ignoring the pain - it's about not letting the pain control you.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Revenue solves all problems.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"I don't have room for negative thoughts. Literally. They take time, time should be spent on acquiring and protecting what I want and have.",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,You can only focus on one thing. Focus on Jesus and the other things will fall into place.,Writing down moments with Brittany that need to be discussed gets them out of your head. Focusing on Jesus puts your mindset into an unoffendable place where you trust Him and reasons with grace and truth instead of anger from pain and fear. Otherwise you focus on a part moment that cannot be resolved today. Causing a loop that degrades your mind and demeanor. Focusing on Jesus does actually solve problems in many ways.,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Remain focused on what you are building.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,If you do not have Jesus you do not have power.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Have I underestimated Jesus today?,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,He doesn't force you to listen to Him. So don't force her.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,I want favor from You. I want You to notice me. If You give me these two things everything else will follow.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Brittany is priceless to me. I will pay anything for her.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Where there is no vision the people perish. Proverbs.,Even Tony Robbins referenced this in his commercial.,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""Worry is not trusting in God."" Dion Grant",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Change a woman’s mood and you change her mind.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"After Bethel I gave Brittany a list of everything I did and she said: ""I feel like reading this is like drinking my coffee and watching the roomba go.""",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Give God your sickness and He will heal you.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,God made me and didn’t make a mistake.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,You can’t live like Jesus if you don’t know Him.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""Don’t harden your hearts."" Hebrews 3:13","- Don’t practice sin.
- Don’t bear the fruits of the spirit. Including forgiveness, compassion and empathy.",4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Is there any length of time that could go by in which you wouldn’t rejoice that someone you love would repent and come back to you?,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,If God never changes; that means it’s we that change. So change in a way the shows you He is consistent.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Give praise where praise is due.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Replace thoughts of fear with Gods thoughts. Scripture.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,I feel good serving her. Maybe especially when she rejects me.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,She said “I can’t always hear you and because I don’t have trust that being under control is your normal that will take a long time to change.”,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,A woman wants security and a man wants a challenge.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Lovely fiercely. Especially Brittany.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,I can enter Heaven anytime. Remember your experience?,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Show her happy children.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,“With gratitude; optimism is sustainable.” Michael J. Fox talking about living with Parkinsons Disease in an interview.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Her inner peace is my competition not another person.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"Because You are loving, You allow impossible situations to happen so You receive the glory.",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Silence can be an act of humility.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"His past faithfulness should leave us with more faith today, not less.",You rescued my marriage 4 other times.,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,30 days to break your habits. 30 days to form a new one.,What do I do with sexual desire that cannot be fufilled?,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"Ezekial 16:60-63 - Although the chapter recounts Israel’s unfaithfulness, it ends with hope, as God promises to restore the relationship.",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Some things can only be justified by forgiveness or afforded in the currency of grace.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Hope drives persistence.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Worship on the patio. With friends. At bed time with the kids.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,You only focus the future you want.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"""Today has enough troubles for today. will worry about itself."" ~ Jesus",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Review Brittanys Needs Once,"*All I want for you is to have all the safety and love I have for you and for it to lift you up so high that you feel like you can do or have anything Brittany.*

1. No anger. (Gentleness)
    - If this didn’t exist this probably wouldn’t be happening.
    - No yelling.
    - Be more easy going.
    - BE FUNNY - Adam Sandler, Chris Pratt
    - Fear of ""the other shoe to drop""
    - Be a source of fun that she wants to be invited into.
2. Not leaving room for her feelings. (Gentleness & Consistency)
3. Being unkind especially when I am stressed, overworked, etc… (Kindness)
4. Unreliability. (Consistency)
    - Finances having money one day but not the next. (Consistency)
    - Not knowing if I will be easy going or not about things like her car. (Consistency)
    - General not knowing what she can expect. (Consistency)
5. Owen not having the relationship he wants with me. (Hope)
6. Not having authority / autonomy. Her biggest struggle to enter a new relationship.
7. Pornography. (Integrity)
8. Doing a lot alone. (Supporting)
9. Being argued with frequently. Disrespected (Authority).
10. Being told you know better. (Authority)
11. Being rushed to get to your needs. (Burdening)
12. Keeping a schedule. (Consistency)
13. Not being interrupted. (Consistency)
14. Not being given additional mental load without given permission to take on more. (Burdening)
15. Taking comments offensively instead of in stride.

I didn’t make her feel priceless when I downloaded the dating apps. When I don’t treat her with kindness. Not respecting the love bombing.

**To be more easy going:**

1. Simplify the complicated stuff.
2. Organize yourself (inside and out).
3. Look at the world with a sense of humor.
4. Don't be an asshole.
5. Make yourself useful to others and yourself.
6. Express gratitude in all things.
7. Spend time wisely.
8. Remember your passions.
9. Not worry about the little things.",4,1,Spencer (47554087),,every day at 05:00,en,America/Los_Angeles,,,,
note,"I failed with anger the last two days. I was obviously under immense strain, work, all the kids all day, in the RV, but I made a choice. I could see I was choosing. Out of habit. I reset but I need to and can to it without anger. I just need to remind myself it doesn't serve me, and I don't feel better, I feel more anger. I also need to set myself up for success not failure.",,,,Spencer (47554087),,2025-02-07T05:11:12.080000Z,,,,,,
note,"I did okay today with Owen. Talked with him through homeschool. I think we did well, but he's quick to fall back into the sighing routine and frustration I have expectations of him. But I stayed calm and spoke clearly, and he finished it out right.",,,,Spencer (47554087),,2025-02-07T05:12:25.054000Z,,,,,,
