TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Purchase an RV ladder.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Mount the electrical wires in under the sink. @RV,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Route the HDMI cable to the new outlet. @RV,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Mount the solar panel to the RV.,,3,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Record a commercial for the RV.,,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Add sand to the RV footings. @HomeDepot @Walmart,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Reconnect the water tank pump to the line with a switch/valve between hose and tank.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Replace the handle on the RV screen door. @Walmart,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install a 50 amp breaker on the house.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Insulate under the sink in the RV.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Insulate under the bed in the RV.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Replace the RV toilet.,,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install the remaining buttons on the RV skirting.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,On Saturday Add the plastic under the RV,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Seal the roof of the RV.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Reinstall the face on the RV heater.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Remove water heater from outside of the RV.,,3,1,Owen (47624286),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Checklist,,,,,,,,,,,,
task,Turn off all lights.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,The slideout has two lights that must be manually switched off individually.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,The master bedroom has four lights that must be switched off individually. Two in the closets and two above the bed.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,The bunk house has six lights that must be switch off manually and individually.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,The bunk house has an Amazon echo that will work if connected to internet.,There is a wifi range extender above the kitchen sink that you can connect too and it will connect to a nearby wifi network more effectively than a laptop. The Amazon Echo is connected to that.,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,The slideout MUST not be used until the trailer is level or damage will be caused to the mechanism. It is extremely expensive to repair and would be reported as an insurance claim on your policy if damaged.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"Heater vents sometimes have things dropped in them, you may use the screwdriver to open them and get anything if necessary.",,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Turn off the fans in the main room on the slideout wall are fans plugged into a USB outlet. Otherwise it will drain and damage the batteries.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Secure tea kettle by placing it in the sink.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Relocate the trash can in front of the fridge before moving slideout in.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Secure cupboards.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Close the vent in the bunk house.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Close the vent in the bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Turn the fan off in the bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Turn the light off in the bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Secure the emergency window latch in the master bedroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Secure the emergency window latch in the bunk house.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Secure the button latches on the master bedroom doors.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Power off the fridge by holding the power button down until the blue light disappears.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Close the glass cover on the stove.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
