TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,"Bring soap, scrubber to clean the fish tank so we can reinstall it in the coop.",This also ensures it won’t shatter and leave dangerous glass shards around.,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Cut the cement board from the top of the door above the chicken coop.,,3,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,General,,,,,,,,,,,,
task,Enclose the chicken run so predators can't get in.,This ensures we don't waste our time by working to earn money to buy more chickens. Also ensures we can begin to have hatchlings and sell them to pay for the chickens we've bought.,1,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Using Spencer's design install a huge feeder onto the chicken coop.,,3,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install a sink in the chicken coop.,Ensure under the sink has room to set a propane tank so we can run propane in there. Ensure a propane line is installed onto the wall.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Cut down the tree near and in the chicken coop.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"In the chicken coop, in the door, there should be the rubber / air sealant product around the edge so during the winter heat doesn't escape.",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"Relocate the perch below, and the nesting boxes above.",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
