TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Get food from the food bank.,"[Food Finder - Oregon Food Bank](https://foodfinder.oregonfoodbank.org/?_gl=1%2A5oapzs%2A_ga%2AMTEyNzY3ODAwOS4xNzExNjU3Nzk3%2A_ga_B1234VTSRX%2AMTcxMTY1Nzc5Ni4xLjEuMTcxMTY1Nzg4My42MC4wLjA.&campaign=0&category=4&category=3&distance=nearby&q=Bend%2C%20Oregon%20)
[News - NeighborImpact](https://www.neighborimpact.org/providers/?_sft_location=sunriver&_sft_services=food&_sft_serves=everyone)",4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,3340 NE Stonebrook Loop Ugh Pillow,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,6 shorts for Emma,,4,1,Spencer (47554087),Spencer (47554087),Aug 2,en,America/Los_Angeles,,,,
task,Household Designs,,4,1,Spencer (47554087),Spencer (47554087),every day at 5am,en,America/Los_Angeles,,,,
task,His & Hers Laundry Baskets,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,His & Hers Bathroom Holders,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Photo Frames for the larger pictures on our bedroom wall.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Acquire a night stand.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Replace the wicker basket.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Cork Board for Entryway,"I want a cork board, or maybe something better, for pictures of all of our family events. Ordering them from Walmart.",4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint Master Bedroom Wall,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install Covenant Eyes on the Desktop.,,1,1,Spencer (47554087),Owen (47624286),Jul 31 11:35 AM,en,America/Los_Angeles,20,minute,,
task,"Complete 100% of your laundry, folded and put away. Do this before anything today.",,4,1,Spencer (47554087),Owen (47624286),Aug 1,en,America/Los_Angeles,,,,
task,Help Sam bring the art in and set it on the dining table.,,1,1,Spencer (47554087),Owen (47624286),Aug 1,en,America/Los_Angeles,,,,
task,Clean the Kitchen,"I know that Emma made the majority of that mess, but since she is sick she can't do that.

I already helped for 15 minutes by cleaning up leftover food and emptying the sink.

Liam did 8 dishes - 3 of the largest and then 5 more.

He and I will probably help more as you work.",4,1,Spencer (47554087),Owen (47624286),Aug 2,en,America/Los_Angeles,,,,
task,Put all food away in bags or tupperware. Bread goes in the cupboard in the one labelled bread.,,4,2,Spencer (47554087),Owen (47624286),Aug 2,en,America/Los_Angeles,,,,
task,Empty the dishwasher - hand wash each of the silverware.,,4,2,Spencer (47554087),Owen (47624286),Aug 2,en,America/Los_Angeles,,,,
task,Hand wash all of the dishes.,,4,2,Spencer (47554087),Owen (47624286),Aug 2,en,America/Los_Angeles,,,,
task,Scrub the stove and counters with soap and water.,Move everything completely and show me when you're done please.,4,2,Spencer (47554087),Owen (47624286),Aug 2,en,America/Los_Angeles,,,,
task,Sweep the kitchen and dining room floor.,I want to inspect this because you are missing things.,4,2,Spencer (47554087),Owen (47624286),Aug 2,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Laundry Room,,,,,,,,,,,,
task,Rotate the laundry throughout the day.,,1,1,Spencer (47554087),Destiny (54019488),May 25,en,America/Los_Angeles,,,,
note,"Okay... I didn't get everything done. However, I have to run.. my son is acting up a little bit. I did get the pathway cleared for the matresses",,,,Destiny (54019488),,2025-05-25T18:00:37.769000Z,,,,,,
note,No worries! Thank you!,,,,Spencer (47554087),,2025-05-25T18:03:17.985000Z,,,,,,
,,,,,,,,,,,,,
section,Boys Bedroom,,,,,,,,,,,,
section,Girls Bedroom,,,,,,,,,,,,
section,Cleaning - Living Room,,,,,,,,,,,,
section,Cleaning - Dining Room,,,,,,,,,,,,
task,Mop the dining room floor.,,4,1,Spencer (47554087),Destiny (54019488),May 25,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Cleaning - Kitchen,,,,,,,,,,,,
section,Cleaning - Master Bedroom,,,,,,,,,,,,
task,Make the Master Bed hotel style. (look at pinterest for an idea),,4,1,Spencer (47554087),Destiny (54019488),May 25,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Garage,,,,,,,,,,,,
section,Shopping,,,,,,,,,,,,
task,Acquire a corner shelf for Google Nest in boys’ room.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Acquire a flat shelf for Noah's Ark in boys’ room.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Acquire a corner shelf for the boys’ diffuser.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Order a Christmas train Christmas ornament.,[Hallmark Holiday Magic Light and Motion Ornament Village Express Train Christmas | eBay](https://www.ebay.com/itm/256381320810?hash=item3bb1847e6a:g:e0cAAOSwIYllqTeF&amdata=enc%3AAQAIAAAA8KC8nXLfvFS7tAi6%2B2g4TPSqx%2BbMD29cw44p%2FS2fYL6IsJmxqrmXZg1phUr%2F6OFM8gi7tEFU%2B1T4iMj6gt12LlETOJ6y2%2FDp%2FZwTt5%2BMJ5tDwCASsMqD%2FlFiudklP0%2BRawt1%2F8iB1wy3JawQUTtW15Xrv7c6ySLhWtevTuqDEvT5xoPmWE9d%2FSSGN3D5r9EH58WuSPtNeL1KQje9AZ1e8oriKvRnbY%2Flgyuh2FESR8zsN6DmuxrMkQRFoKyoAFMUxrpCwClCGhrHE03i4%2BbMxeEWUzXB9hTuEgWO%2Fya%2FDSxLFabx0q70yi0ZDUEAhQ8SCA%3D%3D%7Ctkp%3ABFBM2tP18aVj),4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint the 2x2 support in the pantry white.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Wilco - Cattle Fencing,For the fence in the rental house back yard. And for the garden.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Ace - Brackets for blinds at the office.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Amazon - Order a Smart AC so we can schedule it to turn off and hot.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Acquire 6 large baskets for tools.,,1,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Acquire 6 medium baskets for tools.,,2,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,"Window film for master bedroom, kids’ and back door.",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Order car scratch remover.,https://m.inspiredhousehold.com/funnel/car-scratch-remover?wbraid=CmUKCQjwvpy5BhDFARJUAFdXnHUayNuFJoywmsAysA6jJVol0_lVMlnIctAw5_FFJ_1R-1C0a592DEMT4bMl4FGpXeeRfhOlpI9CZuBBgrIH6A3U_wKJ4g8yIgX537Dh0jyGGgI7FQ&utm_source=ytv&utm_medium=21811419835&utm_campaign=汽车刮痕修复液-宽2&utm_content=717059532618&utm_term=167559289374,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Plant wall hanger. @Target @Walmart,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Bolt for chairs. @AceHardware @HomeDepot,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Acquire a circle pizza pan for Brittany. @Target @Walmart,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Groceries for Road to Hana,Whiskey passionfruite lemon egg whites scotch mist,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,General,,,,,,,,,,,,
task,Please ensure the Tiny House is emptied of everything that aren't tools.,,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Get the cook books from Tiny House. @Errands\ Property,,4,2,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Kids books from tiny house,,4,2,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,In the garage is a mattress and box spring. Help me move them out of the garage.,,4,1,Spencer (47554087),KimberlyAnn (54011733),May 25,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Family Health,,,,,,,,,,,,
task,"Print a cute sign, like you did in the RV, for the kids bathroom to be framed in that tells them their routine. Emmas teeth are in very bad condition. Macy has an entire tooth rotted half way out. I am very worried. This will help me do what I can to keep them on routine.",Include using Theives with oil pulling.,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Submit the Rupa Health blood test.,It's located above the microwave.,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Call [HealthCare.gov](https://HealthCare.gov) to submit applications for insurance.,"[1-800-318-2596](https://www.healthcare.gov/contact-us/)

PDFs on the MacBook Pro in Downloads have the IDs for the plans in question.

Dental Choice PPO Premium 98884OR0070002

Health 77969OR5280010",4,1,Owen (47624286),Spencer (47554087),Aug 4 11:00 AM,en,America/Los_Angeles,,,,
