TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Eat breakfast.,Somehing not sweet but nutritional,4,1,Owen (47624286),Owen (47624286),Every Day at 7:40am,en,America/Los_Angeles,15,minute,,
task,Bible time.,"Mathew, and the Proverb of the day",4,1,Owen (47624286),Owen (47624286),Every Day at 7:40am,en,America/Los_Angeles,15,minute,,
task,Do school.,,4,1,Spencer (47554087),Owen (47624286),Every Day at 9am,en,America/Los_Angeles,120,minute,,
task,"Reading, Drawing & Guitar.",Screen time allowed for guitar. Drawing screen time only allowed when asking a parent.,4,1,Owen (47624286),Owen (47624286),Every Day at 12:40pm,en,America/Los_Angeles,120,minute,,
task,Eat lunch.,chicken + rice/noodles/bread + veggies of some kind,4,1,Owen (47624286),Owen (47624286),Every Day at 12,en,America/Los_Angeles,20,minute,,
task,Blender & Music Creation on Laptop or PC with Dad.,,4,1,Owen (47624286),Owen (47624286),Every Day at 2pm,en,America/Los_Angeles,120,minute,,
task,Dinner.,,4,1,Spencer (47554087),Owen (47624286),Every Day at 6pm,en,America/Los_Angeles,30,minute,,
task,Dinner Chores.,"- Unloading Dishes
- Sweeping",4,1,Spencer (47554087),Owen (47624286),Every Day at 6:30pm,en,America/Los_Angeles,30,minute,,
task,Review Your Budget & Financial Goals,https://docs.google.com/spreadsheets/d/12ONpG4V2KQEJItPGsO0jaB6zPjlty1mbHprBK72StRE/edit?gid=0#gid=0,4,1,Spencer (47554087),Owen (47624286),Every day at 8am,en,America/Los_Angeles,10,minute,,
task,Wake Up,,4,1,Spencer (47554087),Owen (47624286),every day at 7 am,en,America/Los_Angeles,5,minute,,
note,So proud of you. Great job!!,,,,Spencer (47554087),,2025-07-19T16:25:46.309000Z,,,,,,
task,Brush teeth,,4,1,Spencer (47554087),Owen (47624286),every day at 7:05 am,en,America/Los_Angeles,5,minute,,
task,Shower,,4,1,Spencer (47554087),Owen (47624286),Every day at 7:10 am,en,America/Los_Angeles,20,minute,,
task,Dry off and get dressed,,4,1,Spencer (47554087),Owen (47624286),every day at 7:30 am,en,America/Los_Angeles,10,minute,,
task,No Pajamas except on weekends,,4,2,Owen (47624286),,,,America/Los_Angeles,,,,
task,Find a quarter time job.,"Go around to neighbors houses, drop a flyer off and knock on their door.

$18 per hour, 2-4 hours a day, manual labor. Cleaning stalls, taking out trash, caring for animals, etc...",4,1,Spencer (47554087),Owen (47624286),Every day at 9:15am,en,America/Los_Angeles,60,minute,,
task,Workout,,4,1,Spencer (47554087),Owen (47624286),Every day at 8:10am,en,America/Los_Angeles,20,minute,,
task,maybe take shelves to studio with dad,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,get couch chairs from studio with dad,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Put on the board the time schedyle Owen can talk about problems.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Read a Chapter of Practicing The Way,"Mine and moms friend, John Mark Comer, wrote this book from 30 years of learning as a teacher, pastor and musician. He lives out Jesus. You will learn how to be with Jesus, do as Jesus did, and become like Him by reading this book.

I am reading it too. We can talk about it together.",4,1,Spencer (47554087),Owen (47624286),Every Monday at 8:30am,en,America/Los_Angeles,20,minute,,
task,total up income and debts,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,One-Offs,,,,,,,,,,,,
task,What is your focus?,"- YouTube Channel
- UpWork
    - Video Editing
    - Color Grading
    - 3D Modeling",4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Carreer,,,,,,,,,,,,
task,Create portfolio pieces for upwork,,4,1,Owen (47624286),,,,America/Los_Angeles,,,,
task,Learn to Color grade,,4,1,Owen (47624286),,,,America/Los_Angeles,,,,
task,Learn lightroom and davinci,,4,1,Owen (47624286),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Finances,,,,,,,,,,,,
task,Apply for jobs on upwork,,4,1,Owen (47624286),,,,America/Los_Angeles,,,,
task,Pay off debt for gate.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Pay off debt for Watch line payment.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Pay off debt for Watch device payment.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Save $400 for iPad Pro,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Save 6 months of iPad line.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Build savings for moving out.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Transportation,,,,,,,,,,,,
section,Housing,,,,,,,,,,,,
section,Morning Routine @ 7:30am,,,,,,,,,,,,
section,Homeschool @ 9:30am,,,,,,,,,,,,
task,School for Owen: English Quiz Weekly,Generate a new quiz for Owen and auto score it.,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Team Clean : Serving others well @ 1pm,,,,,,,,,,,,
task,Take trash can to house curb,,4,1,Britt (47606195),Owen (47624286),Every Monday,en,America/Los_Angeles,10,minute,,
,,,,,,,,,,,,,
section,Personal Growth @ 2pm,,,,,,,,,,,,
section,Evening Routine @ 7pm,,,,,,,,,,,,
