TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Studio porch - sporting goods shelf,"- treated 2x4s #6
- treated 4x4 #1
- slab for top

Or find a 2x8 shelf pre made",4,1,Britt (47606195),,,,America/Los_Angeles,,,,
task,Work area,- Electrical cords & Hose hanger system #12,4,1,Britt (47606195),,,,America/Los_Angeles,,,,
task,Submit Loan Information,[Ken Luckett Banner Bank Residential Loan Officer](https://loanofficers.bannerbank.com/or/portland/ken-luckett),1,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Smokeless Firepit,Build with cinder blocks or bricks.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Smoker,Built withcinder blocks.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Dehydrator,Build with glass windows.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Glass Furnace,Built with cinder blocks.,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Replace the batteries for any trail cameras that are using non-rechargeable batteries. @Property,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Complete guinea pig cage.,"- Setup the water above dirt.
- Install ramps.
- Install cage.
- Install feeder.",4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Acquire Shed Supplies @HomeDepot,"- Black Metal Roofing
- Siding",3,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Repair the generator.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Relocate the solar panel cables to go through the pipe.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Connect the new solar panel Y chords.,,2,1,Owen (47624286),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install skirting around the studio.,,1,1,Spencer (47554087),Tyler (51449111),Nov 5,en,America/Los_Angeles,,,,
task,Finish the roof on the new shed.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,180,minute,,
task,Level the fence height.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install temporary privacy fencing on the top of all fencing.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Behind the Studio are bales of hay 3 high. Make it 2 high instead. Dad will help because some things need moved.,Ensure they are pulled away from the fence so Levi can’t jump on them.,4,1,Spencer (47554087),Owen (47624286),,,America/Los_Angeles,,,,
task,Use kerosene to burn the stump.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install shut off valve on Studio side.,,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Install the small gate at the front of the property.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Please bring the white washer over to the house. Then help me maneuver the red one into the garage for repair.,"The hand carts are near the Studio, in the back, behind the gate on the right.",1,1,Spencer (47554087),Tyler (51449111),Nov 17,en,America/Los_Angeles,,,,
task,Behind the studio and shed is a pile of small logs on the ground. Using the chainsaw or compund miter saw (big yellow one we cut other wood with) cut it up and load it on the things in the coop as firewood.,,4,1,Spencer (47554087),Tyler (51449111),Nov 18,en,America/Los_Angeles,,,,
task,Install a 1 1/4” bleed line.,,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Make a sign that says “Hill Tribe”.,Prayer request box.,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Submit the photos of Andrea and Rick to the police for the Stalking Order.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Collect the photos of Andrea and Rick.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Create a hook inside or outside the greenhouse to hang the sprinkler system hose.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Cut down the trees in the chicken coop.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Submit the 400 square foot plan to the county to get approval for a foundation and loan.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Build sheep house and pen.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,solar panels,"2 panasonic 370 (both disconnected) (2 Y connectors connected to these) 
6 boviet 370watts (assumption) 1 shattered, (3 disconnected & 3 connected) 
- 2 need cords ( 2 Y connectors, one red one black) 
- need 4 shorter cords ( 2 red 2 black) 
- need 5 total long pairs of red and black 
- need cord condiate 12 feet 4 inch wide
- need 7 medium pairs of cords",4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Relocate these to the garage shelf with the white basket of auto supplies.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
note," [[file {""file_name"":""image.jpg"",""file_size"":3539470,""file_type"":""image/jpeg"",""file_url"":""https://files.todoist.com/V2TEm-FRIXSgNnu20tTbyThi9aCd1d_ZqNG09fRUCEVhRhPY6BAPxEDSm8-DawK4/by/47554087/as/file.jpg"",""image"":""https://files.todoist.com/V2TEm-FRIXSgNnu20tTbyThi9aCd1d_ZqNG09fRUCEVhRhPY6BAPxEDSm8-DawK4/by/47554087/as/file.jpg"",""image_height"":4032,""image_width"":3024,""resource_type"":""image"",""upload_state"":""completed""}]]",,,,Spencer (47554087),,2024-10-28T21:36:05.071000Z,,,,,,
task,Install quotes all over the property.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Remove the fridge from the Studio back to the patio.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Relocate the punching bag to the property.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Anchor - A symbol of who I will be for you.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Chicken Coop,"- Shovel out the poop.
- Pressure wash everything.
- Re-mount the electrical chords for the light and heat lamps.

Secure the plugs on the heat lamps.",4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Plant the flower seedlings.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Mount the chords for the lights in the chicken coop.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Call Stubb & Sons for Formal Proposal for Propane,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Complete the Driveway Application Request with the County.,"Additional information is required to process your permit application **247-25-003261-DA** at job site address **17035 KASSERMAN DR, BEND, OR 97707**.  Please see the comments below for details. 

> *Workflow Task: Application Intake*
> *Comment: ON HOLD –Please complete and upload the following to this online application through Epermitting. 1) DRIVEWAY ACCESS APPLICATION (A driveway access has never been applied for on this property nor approved by the road department. As we come across properties without an approved access we are required to address it. PLEASE FILL OUT ENTIRE APPLICATION https://www.deschutes.org/sites/default/files/fileattachments/community_development/page/26682/driveway_access_permit_application.pdf ***PENDING WITHDRAWAL*** Please upload ALL requested information within 90 days to avoid this application from being withdrawn. Additional information may be required. Your application turn-around is based on when your application is deemed complete, and intake fees have been paid. Incomplete applications do not act as a place holder.*

If you have questions, please contact **Adam Weisgerber** at 541-322-7193 or adam.weisgerber@deschutes.org.

Your record is available online for tracking by clicking here:

> [BuildingPermits.Oregon.gov](https://aca-oregon.accela.com/oregon/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25CAP&capID2=00000&capID3=0036R&agencyCode=DESCHUTES_CO)",2,1,Spencer (47554087),Spencer (47554087),Aug 2,en,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Gardening,,,,,,,,,,,,
task,Assemble the seed starting greenhouse.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Pathways & Driveways,,,,,,,,,,,,
task,And gravel for the walkway by the chicken run.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Order gravel for behind the chicken coop for the tank and the greenhouse.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install a cement pad for the Tiny House.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Organization,,,,,,,,,,,,
task,Locate more hooks in our existing supply for hanging up the tools.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Utilities,,,,,,,,,,,,
task,"At the property, finishing connecting the remaining solar panels.",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install the corrects electrical grounding.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,I need to contact Champion to ask what the history was. JAMES - Repair and sell the backup Champion generator.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install a 50Amp electrical box under the porch covering.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Follow up with quotes for concrete foundation.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Luxuries,,,,,,,,,,,,
task,Setup the fireplace heated feeding trough hot tubs.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
