TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Reminder: Finish the Tiny House to sell it.,,2,1,Spencer (47554087),Spencer (47554087),every day at 5am,en,America/Los_Angeles,,,,
task,Duct Tape remover.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install trim around staircase.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint staircase floor by kids' ladder.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Sand and seal dining bench.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Sand and seal kitchen counter.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Replace counter with trim in kitchen.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint trim in kitchen window.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install quarter round on staircase.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install backboard behind fridge.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint bathroom floor.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install backboard in bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install insulation in bathroom wall.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install ceiling in bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install backboard in book shelf in kids loft.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Vacuum up mouse mess.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install quarter round in kids room.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install L channel to mount the staircase.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install the wallpaper on ceiling.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Fix the leaky sink.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Complete the Tiny House bathroom.,,1,1,Owen (47624286),Spencer (47554087),,,America/Los_Angeles,,,,
task,Pressurize the water tank.,,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Heating,,,,,,,,,,,,
task,Get a diesel heater running and installed.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
note,I got one repaired and running. But I need to rebuild the exterior box to mount it.,,,,Spencer (47554087),,2025-01-05T19:40:23.564000Z,,,,,,
,,,,,,,,,,,,,
section,Exterior,,,,,,,,,,,,
task,Exterior - Paint and seal the exterior of the Tiny House.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Exterior - Install water seal tape around the door frame.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Exterior - Install water seal tape around the window.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Exterior - Install trim around the door.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Exterior - Install trim around the window.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Interior,,,,,,,,,,,,
task,Hardwood Industries - Baltic Birch for stair case.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Finish Work - Install the wallpaper on the ceiling in the main room.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
note,"Installed, but I need to stick on the corner-round so it won't fall down.",,,,Spencer (47554087),,2025-01-05T19:41:17.058000Z,,,,,,
task,Finish Work - Install the fabric for the in-ceiling-storage in the living room.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint the ceiling in the entrance to the Tiny House.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Electrical,,,,,,,,,,,,
task,Lighting - Install the new LED light switches so you can use Google to turn them on and off. Remove the power supplies in favor of a single one and respective bus terminal. Duh! Add up the amps and volts for the bus.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Bathroom,,,,,,,,,,,,
task,Bathroom - Plumbing for refrigerator ice machine.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Plumbing for secondary sink.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Repair the kids' outlet.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Electrical for two outlets in the shower. Or a third for USB?,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Storage for curling iron and blow dryer by the outlets.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Trash can chute.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Inset for propane space heater (Little Buddy).,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Laundry chute.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Install two 3 towel hangar hangars.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Bathroom - Vent for hot water heater.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Propane,,,,,,,,,,,,
task,Complete the propane line installation.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Master Bedroom,,,,,,,,,,,,
task,Master Bedroom - Staple the roof panels using u shaped hooks.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Home Depot - Pine trim for above doors for sound.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Kitchen,,,,,,,,,,,,
task,"Kitchen - Sand, soak and seal counter.",,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Living Room,,,,,,,,,,,,
task,Living Room Couch,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Home Depot - 9 L mounts for staircase.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Home Depot - 4 Blue Pine T&G 8’,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Home Depot - Pack of 1x2’s for under bench shelves.,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Home Depot - 3 2x3x8,,4,2,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Cut the dining table.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install the propane line.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,General,,,,,,,,,,,,
task,Painting the bathroom floor.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Painting the stucco in the bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Fixing the leaking sink.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Fixing the leaking bath spigot.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Paint the wood that is behind the toilet since it is stained we will paint it grey.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Installing the rest of the paneling in the bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Installing a remove-able cover over the pipes in the bathroom.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Painting the ceiling and beams in the master bedroom and main room.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Installing blocks in the slats where there is insulation.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Painting the rest of the windows and trim.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Cleaning up the paint spots that shouldn't be there.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Finishing the rolling door in the Tiny House.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install the towel rack.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Cut a hole in the shower to run the electrical chord for the light behind the fridge.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Seal the butcher block counter.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Search the shower bathroom wood inside and out.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Sand and seal the kitchen counter wall that is beside the door.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install trim over the inside and outside of the door.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Install a drain in the bathtub.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
