TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Order the new AC Compressor.,,2,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Get a new key made for the truck.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Replace the front brake rotors on the Seqouia.,,2,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Tighten the car batteries.,,1,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Repair electric start on the large ATV.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Repair electric start on the small ATV.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Reinstall the rear tail light on the truck.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
task,Steam clean the truck.,,4,1,Spencer (47554087),Spencer (47554087),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Small Projects,,,,,,,,,,,,
task,Address the smoke smell in the Seqouia. @Seqouia,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
note,I replaced the air filters and ran the car. But it died at some point so the smell remained. This morning I am doing it again.,,,,Spencer (47554087),,2024-01-04T17:59:35.774000Z,,,,,,
note,"It seems to smell a lot better today, finally. I've been leaving the windows open. But we still need a heavy vacuum of the ceiling, and some sort of cleaning of the ventilation. Maybe spraying the can I have in the glove compartment or center console into the engine air filter and the cabin air filters will help it blow through.",,,,Spencer (47554087),,2024-01-10T19:39:44.892000Z,,,,,,
task,Sequoia - Install the grommets in the front engine compartment of the vehicle.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Sienna - In your car is a missing mat. Find the type and order a replacement on Amazon because Toyota makes you order the whole thing. @Pending\ Funding,Rubberized seat and floor liners. [https://www.napaonline.com/accessories/3d-maxpider-kagu-cargo-liner?set-vehicle=1](https://www.napaonline.com/accessories/3d-maxpider-kagu-cargo-liner?set-vehicle=1),4,1,Spencer (47554087),Britt (47606195),,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Large Projects,,,,,,,,,,,,
task,Sequoia - Repair the 4 wheel drive. Replace the Transfer Case.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Sequoia - Repair the gasket on the transmission leak.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,Purchase,,,,,,,,,,,,
task,Sequoia - Order a new bumper for the Seqouia. $600,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
section,2024 Seqouia Key Features,,,,,,,,,,,,
task,Rubber on back seats.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Flip up middle row.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Moveable shelf on back seat.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
task,Air conditioned seats.,,4,1,Spencer (47554087),,,,America/Los_Angeles,,,,
,,,,,,,,,,,,,
